,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
88,1. 모바일앱개발_교육,어플리케이션제작,1229,26.4,144694
89,AOP 전체_중복키워드_디자인,일러스트,101109,34.8,144430
90,상업용 부동산 실무 입문 4기,강남빌딩매매,11028,32.4,141647
91, 디자인 툴_파워컨텐츠_포토샵,웹디자인,3889,106.8,140448
92, 디지털 마케팅_1. 디지털 마케팅,디지털마케팅,25573,43.199999999999996,139788
93,AOP 전체_중복키워드_디자인,포토샵강의,8190,46.8,137137
94,포토샵 유치원_일러스트레이터 유치원,포토샵,691814,129.6,136279
95, 디자인 툴_파워컨텐츠_포토샵,포토샵자격증,18602,1059.6,132748
96,고객의 마음을 읽는 구글애널리틱스,구글애널리틱스자격증,6196,90.0,132352
97,왕초보의 파이썬 웹 프로그래밍 CAMP,PYTHON,22657,36.0,127908
98,페이스북&인스타그램 마케팅 실전,페이스북광고,2794,49.199999999999996,127061
99, 콘텐츠 마케팅_영상바이럴,유튜브마케팅,44369,61.199999999999996,125851
100, 업무자동화_VBA,엑셀학원,4873,452.4,125785
101,1. 일반_PC,게임제작,35802,25.2,122221
102,fin_camp_auction_6,부동산투자,10660,18.0,122111
103, 콘텐츠 마케팅_영상바이럴,홍보영상,110768,48.0,120692
104,마케팅KPI수립,마케팅전략,9688,32.4,116446
105,AOP 전체_중복키워드_디자인,인디자인,108188,43.199999999999996,115390
106,6. 파이썬,PYTHON,72065,30.0,113509
107,프로그래밍 유치원,홈페이지만들기,5620,28.799999999999997,109813
108, 1인 쇼핑몰 시작하기_00.창업_PC,B2B사이트,3030,67.2,108405
109,JavaScript BOOT CAMP,JAVASCRIPT,6243,25.2,106172
110,ㅍAOP 전체_중복키워드_프로그래밍(삭제),파이썬강좌,2415,18.0,105765
111,페이스북&인스타그램 마케팅 실전,인스타그램광고,3726,42.0,105655
112,#000_마케팅 전체_main,마케팅,207265,116.39999999999999,104676
113, 콘텐츠 마케팅_영상바이럴,동영상제작,5388,36.0,104302
114,SEO/SEM 전략,SEO,6624,33.6,104049
115, 투자_파워콘텐츠,재테크,4810,300.0,102894
116, 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰창업,23301,32.4,101728
117, 1인 쇼핑몰 시작하기_00.창업_PC,인터넷쇼핑몰,37930,85.2,101101
118,1. 일반_PC,게임프로그래밍학원,1174,13.2,100826
119,2. 프로그래밍,프로그래밍,68689,34.8,100419
120,상업용 부동산 실무 입문 4기,서울빌딩매매,1826,31.2,100166
121, 업무자동화_VBA,MOS자격증,42228,295.2,99110
122,ㅍAOP 전체_중복키워드_공통(삭제),데이터사이언스,3974,25.2,98835
123,1. 일반_PC,모바일게임제작,2244,20.4,98549
124, 콘텐츠 마케팅_영상바이럴,영상촬영,109005,45.6,98527
125,AOP 전체_중복키워드_비지니스,엑셀학원,1559,26.4,98153
126, 업무자동화_VBA,컴활1급,34497,379.2,97702
127, 콘텐츠 마케팅_대표키워드,유튜브크리에이터,47874,37.199999999999996,97416
128, 파이썬 웹 개발_2.프론트엔드기초,HTML,913844,80.39999999999999,95964
129, 디자인 툴_파워컨텐츠_포토샵,에프터이펙트,20104,242.39999999999998,95469
130, 업무자동화_4. VBA,엑셀VBA,38927,70.8,93665
131, 디자인 툴_파워컨텐츠_포토샵,포토샵학원,4188,186.0,93621
132, 금융공학/퀀트_01.파이썬기본&자동화,데이터베이스,152389,31.2,93269
133,타이포그래피와 편집디자인,글씨체,106648,216.0,91806
134, 디자인 툴_파워컨텐츠_포토샵,영상편집학원,2779,80.39999999999999,90805
135,TensorFlow로 시작하는 딥러닝 입문,텐서플로우,11409,78.0,90475
136, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰홈페이지제작,1391,21.599999999999998,86218
137, 업무자동화_3. 엑셀,엑셀교육,2599,33.6,86064
138,고객의 마음을 읽는 구글애널리틱스,그로스해킹,9487,109.2,85965
139,1. 일반_PC,게임개발,5246,10.799999999999999,85118
140,002.마케팅 입문,마케팅자격증,11558,144.0,85008
141, 업무자동화_VBA,컴활1급실기,34971,507.59999999999997,80718
142, 그로스해킹_5.마케팅 분석,광고대행사,5237,22.8,80630
143,1. 데이터분석입문_일반,통계학원,1197,46.8,79860
144,1. 모바일앱개발_교육,모바일앱개발,1037,21.599999999999998,78474
145,data_camp_rmp_8,R,290811,114.0,77715
146,1. 모바일앱개발_교육,안드로이드앱만들기,2915,24.0,77561
147, 업무자동화_2. 파이썬,파이썬기초,4997,13.2,77506
148, 투자_파워콘텐츠,주식,35889,297.59999999999997,76494
149,1. 모바일앱개발_교육,하이브리드앱,2161,22.8,76296
150,ㅍAOP 전체_중복키워드_마케팅(삭제),온라인마케팅,14312,22.8,75889
151,ㅍAOP 전체_중복키워드_디자인(삭제),인디자인,57942,30.0,75559
152,SEO/SEM 전략,검색엔진최적화,1232,21.599999999999998,75031
153, 업무자동화_3. 엑셀,엑셀실무,6797,42.0,74393
154, 업무자동화_VBA,컴활2급실기,38850,391.2,74305
155, 게임 개발,-,43858,234.0,73150
156, 업무자동화_VBA,컴활,61195,345.59999999999997,72787
157, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,인터넷쇼핑몰제작,8407,16.8,72424
158,상업용 부동산 실무 입문 4기,상가빌딩매매,10778,18.0,72160
159,ㅍAOP 전체_중복키워드_마케팅(삭제),퍼포먼스마케팅,4422,24.0,71258
160, 1인 쇼핑몰_00.창업_MO,쇼핑몰,31759,56.4,70565
161, UX/UI 디자인 입문_연관검색어,UX디자인,5703,18.0,69707
162, 업무자동화_VBA,컴활2급,31563,310.8,67419
163,1. 일반_PC,유니티강좌,4291,13.2,65780
164,AOP 전체_중복키워드_디자인,프리미어,198096,39.6,64053
165,타이포그래피와 편집디자인,한글폰트,82983,206.4,63492
166, 업무자동화_4. VBA,VBA,81485,76.8,62095
167,1. 코딩,코딩이란,31868,33.6,60764
168,페이스북&인스타그램 마케팅 실전,SNS마케팅,2281,25.2,60621
169,ㅍAOP 전체_중복키워드_디자인(삭제),마블,907619,228.0,60533
170,마케터를 위한 데이터 해석 실전,GA자격증,3608,63.599999999999994,59081
171, 콘텐츠 마케팅_대표키워드,콘텐츠제작,3572,24.0,57981
172,AOP 전체_중복키워드_마케팅,구글애널리틱스,16760,38.4,57893
173,마케팅 전체,바이럴마케팅,3095998,261.59999999999997,57563
174, UX/UI 디자인 입문_연관검색어,UI디자인,7087,13.2,57409
175, 콘텐츠 마케팅_대표키워드,1인미디어,37024,31.2,57035
176,1. 경영 일반,경영,253775,80.39999999999999,56881
177,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵자격증,10064,14.399999999999999,56716
178,Vue로 구현하는 PWA CAMP,하이브리드앱,1356,10.799999999999999,56254
179,AOP 전체_중복키워드_디자인,포토샵자격증,15316,14.399999999999999,56188
180, 브랜딩,브랜드네이밍,5675,24.0,55825
181, 디자인 툴_파워컨텐츠_포토샵,영상편집자격증,7544,172.79999999999998,55660
182,1. 전체,리플렛디자인,8128,21.599999999999998,54604
183, 디자인 툴_파워컨텐츠_포토샵,인디자인,20147,488.4,54450
184,001.데이터분석/ 통계,데이터사이언티스트,2427,50.4,53097
185,1. 일반_PC,유니티3D,5763,12.0,53020
186,5. javascript,자바스크립트,55573,16.8,52888
187,AOP 전체_중복키워드_디자인,일러스트레이터강좌,2757,19.2,52888
188,001.데이터분석/ 통계,데이터분석준전문가,11326,49.199999999999996,52151
189, 영상 제작/편집_6.프리미어프로,유튜브편집,77062,28.799999999999997,52063
190, 디자인 툴_파워컨텐츠_포토샵,모션그래픽,2452,36.0,52008
191,ㅍ1. 전체,리플렛디자인,3322,20.4,50402
192, 디자인 툴_파워컨텐츠_포토샵,포토샵강좌,2961,302.4,50369
193,Python & Django를 활용한 웹 서비스_개발자,SPRING,24925,18.0,49610
194,1. 전체,어도비일러스트레이터,31324,24.0,49005
195, 콘텐츠 마케팅_대표키워드,SNS광고,7888,16.8,48829
196, 1인 쇼핑몰 시작하기_05.상품촬영,쇼핑몰촬영,82039,24.0,48477
197,1. 컴퓨터공학 일반,컴공,231145,91.2,48444
198,AOP 전체_중복키워드_마케팅,브랜드마케팅,6540,9.6,48213
