,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
370,ㅍAOP 전체_중복키워드_마케팅(삭제),브랜드마케팅,3488,4.8,15158
371, 프로그래밍 첫걸음 시작하기,컴퓨터자격증,2633,63.599999999999994,15092
372,왕초보의 파이썬 웹 프로그래밍 CAMP,웹서버,1633,3.5999999999999996,15059
373,ㅍAOP 전체_중복키워드_마케팅(삭제),그로스해킹,3375,18.0,14861
374,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,데이터수집,1352,6.0,14674
375,001.데이터분석/ 통계,엑셀데이터분석,2738,14.399999999999999,14641
376,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,EDA,2836,6.0,14476
377,내 아이템에 맞는 영상 콘텐츠 기획/제작,동영상편집,3529,8.4,14476
378,구글 광고,검색광고,3540,8.4,14454
379,고객의 마음을 읽는 구글애널리틱스,마케팅분석,1288,6.0,14388
380, 영상 제작/편집_1.크리에이터,유튜브채널,224102,64.8,14278
381, 업무자동화_VBA,컴활인강,8373,78.0,14267
382,ㅍ UX/UI 디자인 입문_연관검색어(삭제),UX디자인,2164,4.8,14124
383, 콘텐츠 마케팅_대표키워드,인스타그램홍보,19627,9.6,14069
384,인스타그램 마케팅,인스타그램좋아요늘리기,3506,22.8,13992
385,AOP 전체_중복키워드_마케팅,마케팅전략,20582,4.8,13970
386,ㅍAOP 전체_중복키워드_마케팅(삭제),카드뉴스제작,1320,8.4,13662
387, 데이터 분석 입문 온라인_파콘,빅데이터분석,2000,66.0,13640
388, 영상 제작/편집_3.촬영 기법/장비1,영상촬영장비,50250,19.2,13530
389,ㅍ 브랜딩,브랜딩디자인,1134,13.2,13431
390, 데이터 분석 입문 온라인_파콘,빅데이터분석가,1695,26.4,13376
391,ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀VBA,6749,13.2,13299
392, 콘텐츠 마케팅_영상바이럴,동영상광고,23698,7.199999999999999,13277
393,딥러닝으로 배우는 병렬처리 CAMP_구버전,DEEPLEARNING,1411,7.199999999999999,13167
394,ㅍAOP 전체_중복키워드_마케팅(삭제),카드뉴스만들기,5230,12.0,13145
395, 디지털 마케팅_3. 구글 광고,구글광고,23106,7.199999999999999,13134
396, 콘텐츠 마케팅_카피라이팅,콘텐츠기획,8195,7.199999999999999,13112
397,내 아이템에 맞는 영상 콘텐츠 기획/제작,유튜브광고,13313,9.6,12991
398,건강한 조직을 만드는 HR 전략 WORKSHOP,노무관리,3519,2.4,12859
399, 업무자동화_VBA,컴활1급인강,4883,60.0,12771
400,타이포그래피와 편집디자인,판화,27843,32.4,12628
401, UX/UI 디자인 입문_연관검색어,UI,69373,12.0,12529
402, 디지털 마케팅_1. 디지털 마케팅,SNS마케팅,90988,9.6,12507
403,ㅍ1. 전체,어도비일러스트레이터,12313,8.4,12496
404, 영상 제작/편집_3.촬영 기법/장비1,유튜브조명,8575,18.0,12375
405,001.데이터분석/ 통계,데이터분석자격증,1737,10.799999999999999,12287
406,포토샵 유치원_일러스트레이터 유치원,디자이너,80233,14.399999999999999,12276
407,왕초보의 파이썬 웹 프로그래밍 CAMP,장고,25265,19.2,12276
408,6.  컴퓨터구조,컴퓨터구조,15092,26.4,12265
409,TensorFlow로 시작하는 딥러닝 입문,TENSORFLOW,6871,13.2,12133
410, 1인 쇼핑몰 시작하기_06.해외쇼핑몰,구매대행업체,2404,12.0,12056
411, 디자인 툴_파워컨텐츠_포토샵,포토샵기초,2483,80.39999999999999,11924
412,딥러닝으로 배우는 병렬처리 CAMP_구버전,딥러닝,8255,4.8,11825
413,인스타그램 마케팅,인플루언서마케팅,1243,9.6,11759
414,5. javascript,JAVASCRIPT,11570,6.0,11726
415,003.파이썬,크롤링,6270,9.6,11704
416,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵교육,2207,3.5999999999999996,11682
417,AOP 전체_중복키워드_디자인,GTQ포토샵2급,4219,9.6,11517
418,ㅍAOP 전체_중복키워드_디자인(삭제),어도비포토샵,24212,7.199999999999999,11484
419,fin_camp_modeling_15,자금조달,10689,3.5999999999999996,11440
420, 업무자동화_VBA,컴활학원,5027,42.0,11308
421,왕초보의 파이썬 웹 프로그래밍 CAMP,점프투파이썬,1446,15.6,11264
422,1. 모바일앱개발_교육,안드로이드앱개발,2208,2.4,11231
423,AOP 전체_중복키워드_마케팅,콘텐츠마케팅,3262,6.0,11132
424, 투자_파워콘텐츠,-,11073,37.199999999999996,11077
425, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰상세페이지,1647,6.0,11033
426, 업무자동화_VBA,컴퓨터활용능력1급인강,3826,48.0,10978
427, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰상세페이지제작,1023,8.4,10879
428,Apache Spark,스파크,62161,12.0,10868
429, 브랜딩,브랜드디자인,9266,3.5999999999999996,10835
430,#000_마케팅 전체_main,온라인광고대행,2047,12.0,10824
431,ㅍAOP 전체_중복키워드_마케팅(삭제),로그분석,5397,3.5999999999999996,10791
432,AOP 전체_중복키워드_마케팅,그로스해킹,1362,9.6,10736
433, 금융공학/퀀_03.금융공학,데이터시각화,2660,2.4,10703
434,1. 전체,북디자인,4591,4.8,10703
435, 1인 쇼핑몰 시작하기_00.창업_PC,남자인터넷쇼핑몰,1478,20.4,10692
436, 투자_파워콘텐츠,주식투자하는법,3049,120.0,10648
437, 금융공학/퀀_02.R활용금융데이터분석,R프로그램,5367,6.0,10538
438,#000_마케팅 전체_main,온라인광고,3312,12.0,10505
439, 영상 제작/편집_2.영상제작이론,영상소스,3801,13.2,10406
440,프로그래밍 유치원,프로그래밍언어,20511,2.4,10340
441,#000_마케팅 전체_main,SNS홍보,63339,13.2,10318
442,#000_마케팅 전체_main,SNS교육,1007,13.2,10252
443,#000_마케팅 전체_main,제휴마케팅,3608,13.2,10219
444, 금융공학/퀀_03.금융공학,차익거래,13921,28.799999999999997,10142
445,1. 모바일앱개발_교육,안드로이드어플만들기,1003,3.5999999999999996,10043
446,마케터를 위한 데이터 해석 실전,CPC,8149,6.0,10032
447,2. C언어 일반,C언어책,6685,18.0,10021
448, 1인 쇼핑몰 시작하기_00.창업_PC,온라인쇼핑몰오픈,1279,14.399999999999999,9988
449, 콘텐츠 마케팅_대표키워드,마케팅공부,1813,9.6,9933
450, 영상 제작/편집_9.유튜브/유튜버,유튜브시작,64727,38.4,9746
451,실전 웹/앱 프로젝트 기획,앱기획,1314,13.2,9724
452,1. 전체,일러스트레이션,7130,2.4,9691
453,LaTeX를 활용한 효율적 논문작성 Workshop,TEX,5738,19.2,9691
454,모바일 앱 UX/UI 디자인,앱디자인,1071,10.799999999999999,9163
455,Python & Django를 활용한 웹 서비스_개발자,플라스크,12793,8.4,9152
456,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,파이썬스터디,1046,6.0,9031
457,마케팅KPI수립,KPI,51545,8.4,8921
458,7. 운영체제,임베디드시스템,5977,3.5999999999999996,8899
459, 콘텐츠 마케팅_대표키워드,인스타관리,5090,9.6,8899
460,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵노트북,7255,9.6,8888
461,파이썬 텍스트 마이닝,파이썬,28442,8.4,8855
462,001.BASIC DESIGN,어도비XD,7926,24.0,8844
463, 업무자동화_4. VBA,VBA강좌,1656,10.799999999999999,8822
464,002.마케팅 입문,네이버교육,5157,24.0,8712
465,AOP 전체_중복키워드_디자인,제플린,30696,26.4,8679
466,2. 프로그래밍,프로그래밍입문,1273,3.5999999999999996,8569
467, 1인 쇼핑몰 시작하기_01.플랫폼,독립형쇼핑몰,4343,2.4,8470
468, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰택배,4200,9.6,8459
469, 영상 제작/편집_9.유튜브/유튜버,유튜버되는법,3785,3.5999999999999996,8360
470,002.마케팅 입문,B2B마케팅,1573,9.6,8327
471,#000_마케팅 전체_main,홍보마케팅,3945,4.8,8316
472, 영상 제작/편집_8.파이널컷 프로,유튜브인트로,2509,15.6,8294
473, 투자_파워콘텐츠,주식사는법,2451,72.0,8250
474,1. 앱웹서비스기획_일반,PM,68532,15.6,8239
475,프로그래밍 전체,IOS,417011,48.0,8228
476,상업용 부동산 실무 입문 4기,중개법인,14912,18.0,8041
477, 업무자동화_VBA,컴퓨터활용능력인강,2367,34.8,7920
478,내 아이템에 맞는 영상 콘텐츠 기획/제작,동영상만들기,2565,4.8,7733
479,대기업을 이기는 브랜딩 전략,컨설팅회사,9955,4.8,7722
480,리눅스 인프라,노바,69650,20.4,7700
481,OpenCV와 함께하는 컴퓨터 비전 프로그래밍,OPENCV,5533,19.2,7623
482,1. 모바일앱개발_교육,안드로이드앱,5553,2.4,7524
483,1. 코딩,코딩책,3656,8.4,7469
484,서비스 기획 스쿨 5기_구글 연관검색어,서비스기획,2037,9.6,7458
485,1. 모바일앱개발_교육,안드로이드스튜디오,10871,16.8,7326
486, 콘텐츠 마케팅_카피라이팅,상품페이지,1708,8.4,7293
487, 금융공학/퀀트_00.일반,퀀트,27470,39.6,7293
488,상업용 부동산 실무 입문 4기,상업용부동산,3759,8.4,7260
489,001.데이터분석/ 통계,데이터과학자,1220,13.2,7205
490,내 아이템에 맞는 영상 콘텐츠 기획/제작,영상편집프로그램,3357,4.8,7194
491,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵기초,3556,3.5999999999999996,7183
492,ㅍ1. 전체,영상편집교육,1785,3.5999999999999996,7172
493, 리더를 위한 HR/인재경영_2.리더십,조직관리,18439,4.8,7172
494, 영상 제작/편집_1.크리에이터,1인크리에이터,2803,6.0,7128
495,파이썬 텍스트 마이닝,텍스트마이닝,1471,6.0,7018
496,001.BASIC DESIGN,벽화알바,1394,20.4,6864
497,AOP 전체_중복키워드_마케팅,CRM마케팅,1412,2.4,6853
498,data_camp_pcda_3,파이썬다운로드,5568,18.0,6842
499,4_벤처캐피탈 투자계약(벤처 투자),벤처투자,3539,2.4,6787
500,AOP 전체_중복키워드_디자인,포토샵CC,29269,7.199999999999999,6688
501,실전 웹 UX/UI 디자인,사이트제작,1568,7.199999999999999,6600
502,1. 일반_PC,게임캐릭터만들기,1148,1.2,6534
503,프로그래밍 전체,안드로이드,603990,43.199999999999996,6523
504,AOP 전체_중복키워드_디자인,포토샵CS6,42712,7.199999999999999,6457
505,타이포그래피와 편집디자인,캘리,72480,22.8,6325
506, 디지털 마케팅_3. 구글 광고,구글검색광고,6117,3.5999999999999996,6303
507,#000_마케팅 전체_main,CPA,25716,7.199999999999999,6237
508, 콘텐츠 마케팅_카피라이팅,상세페이지만들기,1653,6.0,6226
509,ㅍAOP 전체_중복키워드_마케팅(삭제),바이럴영상,2102,2.4,6204
510,#000_마케팅 전체_main,마케팅회사,3673,8.4,6171
511,fin_camp_rdev_4,부동산디벨로퍼,1333,15.6,6171
512,파이낸스 전체,펀드,152213,30.0,6160
513, 그로스해킹_1.용어,CAC,1524,3.5999999999999996,6116
514, 콘텐츠 마케팅_카피라이팅,브랜디드콘텐츠,4471,14.399999999999999,6116
515, 업무자동화_2. 파이썬,크롤링,10231,4.8,6094
516,typescript 실전 workshop,REACT,16399,8.4,6094
517,고객의 마음을 읽는 구글애널리틱스,그로스해커,1883,32.4,5973
518, 1인 쇼핑몰 시작하기_00.창업_PC,온라인사업,5152,2.4,5962
519,ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀강좌,14212,3.5999999999999996,5951
520,1_벤처캐피탈에 대한 이해(벤처캐피탈),투자금회수,12194,9.6,5918
521,비즈니스 전체,엑셀,185504,22.8,5841
522,타이포그래피와 편집디자인,북커버,24266,15.6,5753
523,AOP 전체_중복키워드_디자인,포토샵기초,10348,2.4,5698
524,1_벤처캐피탈에 대한 이해(벤처캐피탈),벤처캐피탈,7425,15.6,5676
525,프로그래밍 유치원,웹페이지만들기,1021,3.5999999999999996,5665
526,4. css,CSS,37224,9.6,5643
527,파이썬 텍스트 마이닝,PYTHON,13444,3.5999999999999996,5588
528,AOP 전체_중복키워드_마케팅,웹로그분석,9515,1.2,5511
529, 콘텐츠 마케팅_카피라이팅,광고시안,1054,10.799999999999999,5511
530,ㅍAOP 전체_중복키워드_디자인(삭제),제플린,12179,13.2,5467
531,마케터를 위한 데이터 해석 실전,CRM마케팅,1986,3.5999999999999996,5412
532,건강한 조직을 만드는 HR 전략 WORKSHOP,조직문화개선,3309,6.0,5412
533,OpenCV와 함께하는 컴퓨터 비전 프로그래밍,얼굴인식,7812,2.4,5379
534, 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰사업,1593,4.8,5379
535,1. 전체,컴퓨터그래픽디자이너,2411,2.4,5368
536,SEO/SEM 전략,검색엔진,2730,3.5999999999999996,5368
537,002.마케팅 입문,마케팅직무,2084,10.799999999999999,5324
538, 1인 쇼핑몰 시작하기_06.해외쇼핑몰,해외직구쇼핑몰,2978,14.399999999999999,5302
539,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CS6,24010,7.199999999999999,5291
540,영상 콘텐츠 디자인 유치원,AFTEREFFECT,3372,6.0,5269
541, 업무자동화_2. 파이썬,GUI,32179,3.5999999999999996,5225
542,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CS2,21616,6.0,5225
543,1. 코딩,코딩강좌,2550,2.4,5214
544,#000_마케팅 전체_main,온라인광고대행사,1965,6.0,5181
545, 디지털 마케팅_5. 태그매니저,GTM,4408,8.4,5137
546, 업무자동화_3. 엑셀,엑셀피벗테이블,49755,8.4,5126
547,1. 전체,그래픽디자인,1495,2.4,5104
548, 콘텐츠 마케팅_대표키워드,미디어마케팅,1334,4.8,5093
549, 투자_파워콘텐츠,주식시세,1460,19.2,5016
550,007.빅데이터,오픈스택,2195,4.8,4994
551,코딩으로 여행하는 블록체인 서비스,BLOCKCHAIN,1565,3.5999999999999996,4972
552,1. 모바일앱개발_세부,안드로이드스튜디오,12183,8.4,4928
553, 업무자동화_VBA,컴퓨터활용능력학원,2165,18.0,4917
554,모바일 앱 GUI 포트폴리오 디자인 LAB,부동산앱,8562,8.4,4906
555, 그로스해킹_5.마케팅 분석,무료빅데이터,6488,3.5999999999999996,4829
556,#000_마케팅 전체_main,홍보방법,8509,4.8,4829
557,포토샵 유치원_일러스트레이터 유치원,타이포그래피,35737,7.199999999999999,4774
558,Python & Django를 활용한 웹 서비스_일반,파이썬,6022,3.5999999999999996,4719
559,ㅍ UX/UI 디자인 입문_연관검색어(삭제),GUI,12630,3.5999999999999996,4675
560,3. html,HTML강좌,1442,2.4,4631
561,AOP 전체_중복키워드_디자인,포토샵CC2018,4064,6.0,4609
562,003.파이썬,DJANGO,2453,7.199999999999999,4609
563,마케터를 위한 데이터 해석 실전,퍼포먼스마케터,1027,8.4,4609
564,1. 모바일앱개발_교육,IOS개발,1528,2.4,4587
565, 콘텐츠 마케팅_카피라이팅,쇼핑몰상세페이지,1070,4.8,4510
566,AOP 전체_중복키워드_디자인,포토샵사진보정,11698,3.5999999999999996,4499
567,002.R,SQL,5109,6.0,4499
568,모바일 앱 GUI 포트폴리오 디자인 LAB,서비스기획,3434,13.2,4389
569,블록체인 신사업 시작하기,DAPP,1044,2.4,4378
570,타이포그래피와 편집디자인,팜플렛제작,1241,10.799999999999999,4378
571,#000_마케팅 전체_main,인스타그램마케팅,4038,4.8,4356
572,AOP 전체_중복키워드_디자인,포토샵누끼,6914,4.8,4356
573,#000_마케팅 전체_main,유튜브광고,5255,6.0,4345
574,대기업을 이기는 브랜딩 전략,브랜드로고,1856,3.5999999999999996,4334
575,AOP 전체_중복키워드_디자인,포토샵보정,20213,4.8,4334
576,AOP 전체_중복키워드_디자인,포토샵프로그램,6472,3.5999999999999996,4301
577, 디지털 마케팅_8. 검색 마케팅,키워드광고,2025,4.8,4279
578, UX/UI 디자인 입문_연관검색어,UX,10110,4.8,4279
579,007.빅데이터,DATABASE,1728,3.5999999999999996,4268
580,007.빅데이터,빅데이터자격증,1078,3.5999999999999996,4246
581,대기업을 이기는 브랜딩 전략,브랜드아이덴티티,1963,2.4,4224
582,대기업을 이기는 브랜딩 전략,브랜드런칭,1436,3.5999999999999996,4202
583,AOP 전체_중복키워드_디자인,포토샵CS2,29324,4.8,4191
584,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵사진보정,7352,3.5999999999999996,4169
585,내 아이템에 맞는 영상 콘텐츠 기획/제작,애프터이펙트,1804,2.4,4158
586,영상 콘텐츠 디자인 유치원,영상기획,1029,4.8,4136
587,Javascript 정복 프로젝트,AJAX,9197,6.0,4125
588,SEO/SEM 전략,네이버키워드광고,3692,1.2,4103
589, 업무자동화_2. 파이썬,파이썬크롤링,3514,2.4,4092
590,001.데이터분석/ 통계,시계열분석,1889,3.5999999999999996,4081
591,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CC2018,2234,4.8,4070
592, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰재고관리,1393,1.2,4059
593,마케팅 유치원,마케팅종류,5226,4.8,4015
594,1. 모바일앱개발_세부,모바일개발,3286,2.4,3993
595,AOP 전체_중복키워드_디자인,포토샵교육,2803,1.2,3982
596,ㅍ1. 전체,일러스트레이션,2818,1.2,3960
597,실전 웹/앱 프로젝트 기획,앱만들기,1005,4.8,3938
598, 업무자동화_VBA,컴활1급실기인강,2207,16.8,3927
599,AOP 전체_중복키워드_디자인,포토샵노트북,9559,6.0,3817
600,AOP 전체_중복키워드_디자인,일러스트레이터CS6,5461,3.5999999999999996,3795
601,타이포그래피와 편집디자인,리플렛,5481,8.4,3784
602, 콘텐츠 마케팅_카피라이팅,유행어,247898,58.8,3773
603,5. javascript,자바스크립트강좌,3095,1.2,3762
604,다빈치리졸브와 컬러그레이딩,색보정,1943,9.6,3751
605,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵다운로드,6710,8.4,3740
606,AOP 전체_중복키워드_디자인,포토샵CS5,10839,3.5999999999999996,3718
607,내 아이템에 맞는 영상 콘텐츠 기획/제작,유튜브편집,2547,2.4,3696
608, 콘텐츠 마케팅_콘텐츠 제작,페이스북카드뉴스,1521,6.0,3608
609, 금융공학/퀀_03.금융공학,주식선물,13038,1.2,3597
610,포토샵 유치원_일러스트레이터 유치원,일러스트CS6,5763,3.5999999999999996,3597
611,왕초보의 파이썬 웹 프로그래밍 CAMP,웹프로그래머,1991,1.2,3553
612,마케터를 위한 데이터 해석 실전,마케팅용어,4148,3.5999999999999996,3498
613,ㅍ1. 전체,북디자인,1826,2.4,3487
614, 브랜딩,브랜드스토리,1947,3.5999999999999996,3476
615,ㅍAOP 전체_중복키워드_프로그래밍(삭제),웹크롤링,2180,4.8,3454
616,다빈치리졸브와 컬러그레이딩,블랙매직디자인,1718,9.6,3443
617,fin_camp_rdev_4,부동산금융,1089,3.5999999999999996,3432
618, 디지털 마케팅_트위터광고,트위터광고,23276,4.8,3432
619,AOP 전체_중복키워드_디자인,포토샵다운로드,12288,8.4,3421
620,다빈치리졸브와 컬러그레이딩,블랙매직,14191,10.799999999999999,3311
621,#000_마케팅 전체_main,페이스북이벤트,5503,2.4,3289
622,AOP 전체_중복키워드_디자인,포토샵7.0한글판,1356,3.5999999999999996,3267
623,007.빅데이터,키스톤,6258,3.5999999999999996,3245
624, 1인 쇼핑몰 시작하기_04.호스팅사,카페24쇼핑몰,2646,2.4,3223
625, 1인 쇼핑몰 시작하기_01.플랫폼,11번가상품등록,1034,1.2,3201
626, 그로스해킹_1.용어,DASHBOARD,4591,3.5999999999999996,3190
627,타이포그래피와 편집디자인,편집,50324,9.6,3190
628,포토샵 유치원_일러스트레이터 유치원,애니일러스트,2757,3.5999999999999996,3179
629,마케터를 위한 데이터 해석 실전,CRM,2956,2.4,3168
630,영상 콘텐츠 디자인 유치원,영상편집,3482,3.5999999999999996,3113
631,#000_마케팅 전체_main,브랜딩,5615,4.8,3113
632,AOP 전체_중복키워드_디자인,포토샵가격,10141,3.5999999999999996,3102
633,Vue로 구현하는 PWA CAMP,VUE,3197,8.4,3102
634, 업무자동화_3. 엑셀,INDEX,56779,8.4,3102
635,#000_마케팅 전체_main,CPA광고,1164,3.5999999999999996,3091
636,8. 시스템 프로그래밍,UBUNTU,27155,14.399999999999999,3091
637,상업용 부동산 실무 입문 4기,10억건물,1976,2.4,3080
638, 업무자동화_4. VBA,SELENIUM,4355,2.4,3058
639,Vue로 구현하는 PWA CAMP,웹앱,1688,1.2,3047
640,ㅍAOP 전체_중복키워드_마케팅(삭제),웹로그분석,5731,1.2,3025
641,쉽고 재미있는 재무제표 분석 17기,재무제표,15977,6.0,3003
642,001.데이터분석/ 통계,SPSS,11584,2.4,2992
643,AOP 전체_중복키워드_비지니스,엑셀온라인,1195,3.5999999999999996,2981
644,001.데이터분석/ 통계,BIGDATA,1145,2.4,2970
645,ㅍAOP 전체_중복키워드_마케팅(삭제),마케팅분석,4966,1.2,2948
646,002.R,R프로그램,1195,3.5999999999999996,2915
647,마케팅KPI수립,OKR,7007,14.399999999999999,2915
648,대기업을 이기는 브랜딩 전략,브랜드전략,1688,2.4,2860
649,실전 웹 UX/UI 디자인,웹디자인프로그램,1339,3.5999999999999996,2860
650,#000_마케팅 전체_main,체험단마케팅,1584,3.5999999999999996,2849
651,타이포그래피와 편집디자인,손글씨,55942,9.6,2838
652,Python & Django를 활용한 웹 서비스_개발자,FLASK,1655,3.5999999999999996,2827
653,8. 시스템 프로그래밍,시스템프로그래밍,3342,3.5999999999999996,2827
654,1_2 대표 경쟁,실무교육,28711,3.5999999999999996,2827
655,AOP 전체_중복키워드_디자인,포토샵라이트룸,2646,7.199999999999999,2827
656,OpenCV와 함께하는 컴퓨터 비전 프로그래밍,MFC,1763,1.2,2805
657,Java 웹 프로그래밍 마스터 4기 : 3개월,JAVA,8254,1.2,2794
658, 업무자동화_4. VBA,EXCELVBA,1086,6.0,2794
659,타이포그래피와 편집디자인,비주얼씽킹,17543,12.0,2783
660,002.R,깃허브,12850,3.5999999999999996,2750
661,#000_마케팅 전체_main,병원마케팅,1305,3.5999999999999996,2728
662,포토샵 유치원_일러스트레이터 유치원,타이포그라피,6776,2.4,2706
663, 그로스해킹_2.그로스해킹,CAC,2538,2.4,2684
664,타이포그래피와 편집디자인,캘리그라피폰트,5968,6.0,2673
665,001.BASIC DESIGN,ADOBEXD,5524,8.4,2607
666,실전 웹/앱 프로젝트 기획,모바일앱,17000,3.5999999999999996,2574
667, 투자_파워콘텐츠,연금펀드,1574,39.6,2574
668,크리에이티브 전체,디자인,25257,10.799999999999999,2552
669,마케팅 전체,마케터,7341,9.6,2519
670,마케팅KPI수립,KPI지표,2820,10.799999999999999,2519
671,크리에이티브 전체,디자인서적,3055,14.399999999999999,2464
672,마케팅 전체,마케팅스터디,1146,13.2,2442
673, 업무자동화_4. VBA,VBA기초,1575,3.5999999999999996,2420
674,실전 웹/앱 프로젝트 기획,기획강의,1640,14.399999999999999,2409
675,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,CSV,65861,9.6,2398
676,프로그래밍 전체,백엔드,14685,9.6,2376
677,포토샵 유치원_일러스트레이터 유치원,ILLUST,77164,18.0,2376
678, 영상 제작/편집_6.프리미어프로,오디오편집,3771,3.5999999999999996,2365
679, 리더를 위한 HR/인재경영_1.인재,인사고과,9059,3.5999999999999996,2332
680, 1인 쇼핑몰 시작하기_06.해외쇼핑몰,직구쇼핑몰,1654,12.0,2332
681,002.UX/UI,SKETCH,6498,16.8,2332
682,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CC,15679,2.4,2288
683,리눅스 인프라,우분투,20887,4.8,2288
684,6. 파이썬,파이썬프로그램,2667,1.2,2255
685,fin_camp_modeling_15,모델링,13851,4.8,2244
686,#000_마케팅 전체_main,광고대행,1362,2.4,2189
687,Python & Django를 활용한 웹 서비스_일반,파이참,3663,1.2,2167
688,fin_camp_feasibilitystudy_18,현금흐름,3510,3.5999999999999996,2156
689, 금융공학/퀀트_01.파이썬기본&자동화,볼린저밴드,33696,4.8,2145
690, 리더를 위한 HR/인재경영_1.인재,인사노무,2296,1.2,2123
691,실전 웹 UX/UI 디자인,RFP,22055,6.0,2123
692, 디지털 마케팅_8. 검색 마케팅,검색광고,3886,2.4,2090
693,파이낸스 전체,퀀트투자,5916,8.4,2090
694,Vue.js 정복 CAMP,VUE,4149,6.0,2068
695,영상 콘텐츠 디자인 유치원,트랜스폼,70543,7.199999999999999,2068
696,AOP 전체_중복키워드_디자인,인디자인자격증,1553,1.2,2057
697,타이포그래피와 편집디자인,켈리그라피,4022,4.8,2046
698,파이낸스 전체,부동산스터디,196862,13.2,2046
699, 1인 쇼핑몰 시작하기_01.플랫폼,오픈마켓입점,1337,1.2,2035
700,건강한 조직을 만드는 HR 전략 WORKSHOP,인재개발,4270,2.4,2035
701,크리에이티브 전체,디자인스터디,1653,15.6,2035
702,007.빅데이터,클라우드서버,1152,2.4,1980
703, 영상 제작/편집_9.유튜브/유튜버,유튜버시작,1946,2.4,1980
704,딥러닝으로 배우는 병렬처리 CAMP,CUDA,2158,4.8,1980
705,AOP 전체_중복키워드_디자인,어도비인디자인,7111,1.2,1969
706,#000_마케팅 전체_main,파워블로그,4889,2.4,1936
707, 콘텐츠 마케팅_카피라이팅,홍보문구,7983,3.5999999999999996,1936
708,1. 코딩,코딩스터디,2599,8.4,1892
709,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,투자기법,3197,6.0,1881
710,data_camp_rmp_8,데이터분석가,6561,2.4,1870
711, 리더를 위한 HR/인재경영_1.인재,직원평가,13926,2.4,1870
712, 영상 제작/편집_3.촬영 기법/장비1,카메라촬영,1928,1.2,1859
713,AOP 전체_중복키워드_마케팅,구글광고,4699,1.2,1837
714, 콘텐츠 마케팅_대표키워드,콘텐츠디자인,2356,6.0,1837
715,왕초보의 파이썬 웹 프로그래밍 CAMP,DJANGO,2105,7.199999999999999,1815
716,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,PANDAS,3331,4.8,1760
717,AOP 전체_중복키워드_비지니스,엑셀VBA,4085,3.5999999999999996,1738
718,1. 전체,포토샵누끼따기,25020,8.4,1738
719,#000_마케팅 전체_main,키워드검색,16340,2.4,1705
720,타이포그래피와 편집디자인,TYPO,13427,7.199999999999999,1694
721,Javascript 정복 프로젝트,SPA,2065,1.2,1672
722,타이포그래피와 편집디자인,CI,3261,3.5999999999999996,1661
723, 영상 제작/편집_2.영상제작이론,콘티,61806,3.5999999999999996,1661
724,딥러닝으로 배우는 병렬처리 CAMP_구버전,멀티코어,2511,1.2,1650
725,파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,거래량분석,1299,3.5999999999999996,1639
726,리눅스 인프라,MARIADB,2014,3.5999999999999996,1639
727,리눅스 인프라,MYSQL,2433,1.2,1628
728,리눅스 인프라,VMWARE,18524,1.2,1628
729,#000_마케팅 전체_main,검색엔진,32332,4.8,1617
730,ㅍAOP 전체_중복키워드_디자인(삭제),GTQ포토샵2급,2158,1.2,1606
731,data_camp_pcda_3,파이썬활용,1460,2.4,1606
732,포토샵 유치원_일러스트레이터 유치원,벡터이미지,2344,3.5999999999999996,1606
733,6.  컴퓨터구조,프로세서,11827,3.5999999999999996,1606
734, 콘텐츠 마케팅_대표키워드,SNS이벤트,6953,1.2,1584
735,007.빅데이터,오픈소스,3329,1.2,1573
736,마케팅 유치원,마케팅업무,2175,4.8,1529
737,001.BASIC DESIGN,포토샵CS6,13573,3.5999999999999996,1518
738,1. 모바일앱개발_교육,코틀린,1786,6.0,1507
739,1. 전체,포토샵초보,1494,1.2,1485
740,4. 웹의 동작,SOAP,22522,3.5999999999999996,1485
741,7. 운영체제,가상메모리,94933,22.8,1463
742, 업무자동화_2. 파이썬,구글스프레드시트,57276,7.199999999999999,1441
